query,category,processed_query
At what AQI level should all outdoor cardio and gym workouts stop?,Outdoor Activities,aqi level outdoor cardio gym workout stop
"Hey AQI-Sense, Why do I feel lightheaded after riding my scooter in heavy traffic?",Symptoms,hey aqi sense feel lightheaded rid scooter heavy traffic
Why do I feel profound lethargy and brain fog during severe pollution?,Symptoms,feel profound lethargy brain fog severe pollution
"I want to know, Can exposure to vehicle exhaust cause immediate nausea and gagging?",Symptoms,want know exposure vehicle exhaust cause immediate nausea gag
Quick question: Why do my lips crack and sting when particulate levels are elevated?,Symptoms,quick question lip crack sting particulate level elevate
"I want to know, Quick question: Can breathing dirty air cause a dry metallic taste in the mouth?",Symptoms,want know quick question breathe dirty air cause dry metallic taste mouth
"Could you explain if doctor, Can dirty air cause long term chronic bronchitis and persistent wheezing?",Respiratory Health,could explain doctor dirty air cause long term chronic bronchitis persistent wheeze
Please explain: Why do people with allergic rhinitis suffer so much during smog season?,Respiratory Health,please explain people allergic rhinitis suffer much smog season
Why do children breathe more air per pound of body weight than adults?,Vulnerable Groups,child breathe air per pound body weight adult
What special measures should neonatal care units take for air quality?,Vulnerable Groups,special measure neonatal care unit take air quality
Why do patients with chronic kidney disease need extra protection from smog?,Vulnerable Groups,patient chronic kidney disease need extra protection smog
Can fine dust inhalation affect the endocrine system?,Health Effects,fine dust inhalation affect endocrine system
How often should HEPA filters be vacuumed or replaced in high pollution?,Precautions,often hepa filter vacuum replace high pollution
"Hey AQI-Sense, Can you tell me: Can air pollution affect the developing lungs of young children permanently?",Vulnerable Groups,hey aqi sense tell air pollution affect develop lung young child permanently
Can I exercise outdoors in the evening if the AQI is 230?,Outdoor Activities,exercise outdoors even aqi 230
Can children play in the backyard playground when the AQI is 410?,Outdoor Activities,child play backyard playground aqi 410
"Hey AQI-Sense, Hey AQI-Sense, What biomarkers of oxidative stress are elevated after acute exposure to city traffic smog?",Pollution Exposure,hey aqi sense hey aqi sense biomarkers oxidative stress elevate acute exposure city traffic smog
What does a purple air quality alert signify?,AQI Information,purple air quality alert signify
Please explain: At what AQI level is it strongly recommended to wear an N95 respirator?,Masks and Protection,please explain aqi level strongly recommend wear n95 respirator
Why are cancer patients undergoing chemotherapy considered a vulnerable group?,Vulnerable Groups,cancer patient undergo chemotherapy consider vulnerable group
What precautions should be taken when cooking to avoid adding to indoor PM2.5?,Precautions,precaution take cook avoid add indoor pm25
How often should home air purifier filters be replaced during smog season?,Precautions,often home air purifier filter replace smog season
Could you explain if how does diesel soot induce airway hyperresponsiveness and mucus hypersecretion?,Respiratory Health,could explain diesel soot induce airway hyperresponsiveness mucus hypersecretion
Are washable cloth masks with PM2.5 filter inserts effective?,Masks and Protection,washable cloth mask pm25 filter insert effective
"Can bad air cause a raw, scratchy feeling in the back of the throat?",Symptoms,bad air cause raw scratchy feel back throat
What biological markers indicate recent heavy exposure to vehicle emissions?,Pollution Exposure,biological marker indicate recent heavy exposure vehicle emission
Can fine dust cause persistent phlegm and morning coughing fits?,Symptoms,fine dust cause persistent phlegm morning cough fit
Please explain: What happens to the circulatory system during a severe smog episode?,Health Effects,please explain happen circulatory system severe smog episode
Explain what AQI 380 indicates.,AQI Information,explain aqi 380 indicate
"I want to know, How does wildfire smoke affect elderly patients in assisted living facilities?",Vulnerable Groups,want know wildfire smoke affect elderly patient assist live facility
Can I walk my dog outside for an hour when the air quality is 410?,Outdoor Activities,walk dog outside hour air quality 410
Should school sports days be rescheduled due to poor air quality?,Outdoor Activities,school sport day reschedule due poor air quality
Why does breathing dirty air give me an upset stomach or nausea?,Symptoms,breathe dirty air give upset stomach nausea
Can you tell me: Quick question: Why do my lips crack and sting when particulate levels are elevated?,Symptoms,tell quick question lip crack sting particulate level elevate
Is it true that why are informal outdoor day-laborers classified as a high-vulnerability group?,Vulnerable Groups,true informal outdoor day laborer classify high vulnerability group
Can high AQI cause sudden chest heaviness and coughing spells?,Symptoms,high aqi cause sudden chest heaviness cough spell
Why do my lungs feel heavy and irritated after outdoor exposure?,Symptoms,lung feel heavy irritate outdoor exposure
Could you explain if what respirator should traffic wardens wear during peak congestion?,Masks and Protection,could explain respirator traffic warden wear peak congestion
How does mouth breathing during hard exercise bypass nasal filtration?,Outdoor Activities,mouth breathe hard exercise bypass nasal filtration
Why does cold winter air combined with smog cause severe bronchial spasms?,Respiratory Health,cold winter air combine smog cause severe bronchial spasm
How do personal commute habits change daily cumulative air pollution exposure?,Pollution Exposure,personal commute habit change daily cumulative air pollution exposure
What scale is used to measure air quality index?,AQI Information,scale use measure air quality index
Can you tell me: What are the target limits for annual PM2.5 exposure set by WHO?,AQI Information,tell target limit annual pm25 exposure set
Could you explain if how do personal commute habits change daily cumulative air pollution exposure?,Pollution Exposure,could explain personal commute habit change daily cumulative air pollution exposure
Can I cycle to work on my bicycle when the air quality is unhealthy?,Outdoor Activities,cycle work bicycle air quality unhealthy
